14:20:36.143567 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/1: TURN refresh HEARTBEAT cand=0x72e028015f60 local=192.168.1.117:55477 remote=185.124.96.129:3478 age=240s last_event=240s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:20:36.143603 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/2: TURN refresh HEARTBEAT cand=0x72dfe80160e0 local=192.168.1.117:33521 remote=185.124.96.129:3478 age=240s last_event=240s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:20:36.143609 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/1: TURN refresh HEARTBEAT cand=0x72e028055de0 local=192.168.1.117:60908 remote=185.124.96.129:3478 age=240s last_event=240s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:20:36.143615 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/1: TURN refresh HEARTBEAT cand=0x72e0280958e0 local=192.168.1.117:58506 remote=185.124.96.129:443 age=240s last_event=240s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:20:36.143621 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/2: TURN refresh HEARTBEAT cand=0x72dfe8055ff0 local=192.168.1.117:60924 remote=185.124.96.129:3478 age=240s last_event=240s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:20:36.143627 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/2: TURN refresh HEARTBEAT cand=0x72dfe8095750 local=192.168.1.117:58520 remote=185.124.96.129:443 age=240s last_event=240s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:20:47.260308 1255525 0x72e078001a40 DEBUG            niceagent conncheck.c:3929:priv_find_stunagent_for_message:<NiceAgent@0x72e09402b370> 1/1: inbound STUN request/indication packet from [172.21.39.43]:40816 (28 octets) using global stun agent:
14:20:47.260334 1255525 0x72e078001a40 DEBUG            niceagent conncheck.c:4026:conn_check_handle_inbound_stun:<NiceAgent@0x72e09402b370> 1/1: Integrity check failed.
14:20:47.297484 1255525 0x72e094024ec0 DEBUG            niceagent conncheck.c:1222:priv_conn_keepalive_tick_unlocked:<NiceAgent@0x72e09402b370> 1/1: stun_bind_keepalive for pair 0x72e09403b648(9:1) res 28.
14:20:47.297507 1255525 0x72e094024ec0 DEBUG            niceagent conncheck.c:1249:priv_conn_keepalive_tick_unlocked:<NiceAgent@0x72e09402b370> 1/2: Not sending STUN keepalive as rtcp-mux in use
14:21:06.157730 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/1: TURN refresh HEARTBEAT cand=0x72e028015f60 local=192.168.1.117:55477 remote=185.124.96.129:3478 age=270s last_event=270s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:21:06.157762 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/2: TURN refresh HEARTBEAT cand=0x72dfe80160e0 local=192.168.1.117:33521 remote=185.124.96.129:3478 age=270s last_event=270s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:21:06.157768 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/1: TURN refresh HEARTBEAT cand=0x72e028055de0 local=192.168.1.117:60908 remote=185.124.96.129:3478 age=270s last_event=270s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:21:06.157773 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/1: TURN refresh HEARTBEAT cand=0x72e0280958e0 local=192.168.1.117:58506 remote=185.124.96.129:443 age=270s last_event=270s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:21:06.157778 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/2: TURN refresh HEARTBEAT cand=0x72dfe8055ff0 local=192.168.1.117:60924 remote=185.124.96.129:3478 age=270s last_event=270s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:21:06.157783 1255525 0x72e094024ec0 INFO            niceagent conncheck.c:405:priv_turn_refresh_heartbeat_tick:<NiceAgent@0x72e09402b370> 1/2: TURN refresh HEARTBEAT cand=0x72dfe8095750 local=192.168.1.117:58520 remote=185.124.96.129:443 age=270s last_event=270s ago refresh_count=0 last_lifetime=600s consecutive_stale_nonce=0 tolerate_one_timeout=1 siblings=2 last_result=allocated
14:21:12.285110 1255525 0x72e078001a40 DEBUG            niceagent conncheck.c:3929:priv_find_stunagent_for_message:<NiceAgent@0x72e09402b370> 1/1: inbound STUN request/indication packet from [172.21.39.43]:40816 (28 octets) using global stun agent:
14:21:12.285139 1255525 0x72e078001a40 DEBUG            niceagent conncheck.c:4026:conn_check_handle_inbound_stun:<NiceAgent@0x72e09402b370> 1/1: Integrity check failed.
14:21:12.303635 1255525 0x72e094024ec0 DEBUG            niceagent conncheck.c:1222:priv_conn_keepalive_tick_unlocked:<NiceAgent@0x72e09402b370> 1/1: stun_bind_keepalive for pair 0x72e09403b648(9:1) res 28.
14:21:12.303654 1255525 0x72e094024ec0 DEBUG            niceagent conncheck.c:1249:priv_conn_keepalive_tick_unlocked:<NiceAgent@0x72e09402b370> 1/2: Not sending STUN keepalive as rtcp-mux in use
14:21:36.081688 1255525 0x72e094024ec0 DEBUG            niceagent conncheck.c:1475:priv_turn_allocate_refresh_tick_unlocked:<NiceAgent@0x72e09402b370> 1/1: Sending TURN Refresh #1 on cand=0x72e028015f60 local=192.168.1.117:55477 remote=185.124.96.129:3478 (160 bytes), allocation age 300 s, last lifetime 600 s, requested lifetime 600 s
14:21:36.081757 1255525 0x72e094024ec0 DEBUG            niceagent conncheck.c:1475:priv_turn_allocate_refresh_tick_unlocked:<NiceAgent@0x72e09402b370> 1/2: Sending TURN Refresh #1 on cand=0x72dfe80160e0 local=192.168.1.117:33521 remote=185.124.96.129:3478 (160 bytes), allocation age 300 s, last lifetime 600 s, requested lifetime 600 s
14:21:36.101924 1255525 0x72e094024ec0 DEBUG            niceagent conncheck.c:1475:priv_turn_allocate_refresh_tick_unlocked:<NiceAgent@0x72e09402b370> 1/1: Sending TURN Refresh #1 on cand=0x72e028055de0 local=192.168.1.117:60908 remote=185.124.96.129:3478 (160 bytes), allocation age 300 s, last lifetime 600 s, requested lifetime 600 s
14:21:36.102063 1255525 0x72e094024ec0 DEBUG            niceagent conncheck.c:1475:priv_turn_allocate_refresh_tick_unlocked:<NiceAgent@0x72e09402b370> 1/1: Sending TURN Refresh #1 on cand=0x72e0280958e0 local=192.168.1.117:58506 remote=185.124.96.129:443 (160 bytes), allocation age 300 s, last lifetime 600 s, requested lifetime 600 s
14:21:36.103384 1255525 0x72e094024ec0 DEBUG            niceagent conncheck.c:1475:priv_turn_allocate_refresh_tick_unlocked:<NiceAgent@0x72e09402b370> 1/2: Sending TURN Refresh #1 on cand=0x72dfe8055ff0 local=192.168.1.117:60924 remote=185.124.96.129:3478 (160 bytes), allocation age 300 s, last lifetime 600 s, requested lifetime 600 s
14:21:36.104696 1255525 0x72e094024ec0 DEBUG            niceagent conncheck.c:1475:priv_turn_allocate_refresh_tick_unlocked:<NiceAgent@0x72e09402b370> 1/2: Sending TURN Refresh #1 on cand=0x72dfe8095750 local=192.168.1.117:58520 remote=185.124.96.129:443 (160 bytes), allocation age 300 s, last lifetime 600 s, requested lifetime 600 s
14:21:36.113163 1255525 0x72e078001a40 DEBUG            niceagent conncheck.c:3910:priv_find_stunagent_for_message:<NiceAgent@0x72e09402b370> 1/1: inbound STUN response from [185.124.96.129]:3478 (60 octets) matches refresh stun agent:
14:21:36.113225 1255525 0x72e078001a40 ERROR            niceagent conncheck.c:225:priv_turn_lifetime_to_refresh_interval:(NULL) SERVER TURN LIFETIME: 600
